p_id	e_id	cell_line	modification	effect	time	comment	stimuli	controls
Estrogen	GSE1045a	MDA-MB-231 breast cancer cells	treated with estradiol	activation	1 h	2 replicates each, part of time series	GSM16943,GSM18491	GSM18492,GSM18493
Estrogen	GSE1045b	MDA-MB-231 breast cancer cells	treated with estradiol	activation	2 h	2 replicates each, part of time series	GSM16943,GSM18491	GSM18494,GSM18495
Estrogen	GSE11467	MCF-7 cells	treated with 10 nM estradiol	activation	2 h	3 replicates each	GSM288961,GSM288962,GSM288963	GSM288964,GSM288965,GSM288966
Estrogen	GSE11567a	SKBR3 cells	treated with 1µM estradiol	activation	1 h	3 replicates each, control transfection	GSM291218,GSM291219,GSM291220	GSM291224,GSM291225,GSM291226
Estrogen	GSE11567b	SKBR3 cells	treated with 1o µM hydoxytamoxifen	unknown	1 h	3 replicates each, control transfection	GSM291218,GSM291219,GSM291220	GSM291221,GSM291222,GSM291223
Estrogen	GSE11791	MCF-7 cells	treated with 100 nM estradiol	activation	6 h	3 replicates each	GSM298353,GSM298354,GSM298355	GSM298356,GSM298357,GSM298358
Estrogen	GSE12261	human smooth muscle cells	treated with 3 µM 2-methoxyestradiol	activation	4 h	3 replicates each	GSM307999,GSM308000,GSM308001	GSM308002,GSM308003,GSM308004
Estrogen	GSE13458	MCF-7 cells	treated with estradiol	activation	3 h	3 replicates each, contain luciferase knockdown	GSM339381,GSM339382,GSM339421	GSM339383,GSM339411,GSM339422
Estrogen	GSE15717	MCF-7 cells	treated with estradiol	activation	4 h	3 replicates each	GSM393484,GSM393485,GSM393486	GSM393487,GSM393488,GSM393489
Estrogen	GSE18592	MCF-7 ER+ breast cancer cells	treated with estrogen	activation	1 h	3 replicates each	GSM462338,GSM462339,GSM462340	GSM462332,GSM462333,GSM462334
Estrogen	GSE20081	MCF-7 breast cancer cells	treated with estradiol	activation	6 h	3 replicates each, contain control siRNA	GSM503884,GSM503885,GSM503886	GSM503887,GSM503888,GSM503889
Estrogen	GSE22012	MCF-7 breast cancer cells	treated with estradiol	activation	1 h	4 replicates each	GSM547196,GSM547197,GSM547198,GSM547199	GSM547161,GSM547162,GSM547163,GSM547176
Estrogen	GSE22593a	MDA-MB-231ER+ breast cancer cells	treated with estradiol	activation	1 h	2 replicates each, part of time series	GSM560575,GSM560576	GSM560577,GSM560578
Estrogen	GSE22593b	MDA-MB-231ER+ breast cancer cells	treated with estradiol	activation	2 h	2 replicates each, part of time series	GSM560575,GSM560576	GSM560579,GSM560580
Estrogen	GSE22593c	MDA-MB-231ER+ breast cancer cells	treated with estradiol	activation	4 h	2 replicates each, part of time series	GSM560575,GSM560576	GSM560581,GSM560582
Estrogen	GSE23445	MCF-7	treated with estradiol	activation	4 h	3 replicates each	GSM575323,GSM575324,GSM575325	GSM575326,GSM575327,GSM575328
Estrogen	GSE23500	human normal breast cells	treated with estradiol	activation	6 h	3 replicates each	GSM575623,GSM575624,GSM575625	GSM575626,GSM575627,GSM575628
Estrogen	GSE23610	MCF-7 breast cancer cells	treated with 0.1µM estradiol	activation	6 h	3 replicates each	GSM578941,GSM578942,GSM578943	GSM578944,GSM578945,GSM578946
Estrogen	GSE24592	MCF-7 breast cancer cells	treated with 10nM estradiol	activation	4 h	2-3 replicates each, contain control siRNA	GSM606107,GSM606108,GSM606109	GSM606110,GSM606111,GSM606112
Estrogen	GSE25314a	MCF-7 breast cancer cells	treated with 100nM estrogen	activation	6 h	4 replicates each, different treatments	GSM622757,GSM622761,GSM622765,GSM622769	GSM622758,GSM622762,GSM622766,GSM622770
Estrogen	GSE25314b	MCF-7 breast cancer cells	treated with 1 µM tamoxifen	unknown	6 h	4 replicates each, different treatments	GSM622757,GSM622761,GSM622765,GSM622769	GSM622760,GSM622764,GSM622768,GSM622772
Estrogen	GSE25315	MCF-7	treated with 100nM estrogen	activation	6 h	3 replicates each, contain control siRNA	GSM622773,GSM622777,GSM622781	GSM622775,GSM622779,GSM622783
